2017-08-21 21:02:38, -958
2017-08-21 21:03:29, -402
2017-08-21 21:03:33, -111
2017-08-21 21:03:36, -1075
2017-08-21 21:03:39, -1474
2017-08-21 21:03:43, -692
2017-08-21 21:03:46, -775
2017-08-21 21:03:50, -742
2017-08-21 21:03:53, -1038
2017-08-21 21:03:57, -573
2017-08-21 21:04:00, -931
2017-08-21 21:04:01, -610
2017-08-21 21:04:04, -707
2017-08-21 21:04:05, -690
2017-08-21 21:04:08, -722
2017-08-21 21:04:09, -420
2017-08-21 21:04:12, -875
2017-08-21 21:04:14, -464
2017-08-21 21:04:16, -834
2017-08-21 21:04:18, -793
2017-08-21 21:04:20, -979
2017-08-21 21:04:21, -953
2017-08-21 21:04:24, -1316
2017-08-21 21:04:25, -1009
2017-08-21 21:04:28, -706
2017-08-21 21:04:30, -754
2017-08-21 21:04:32, -745
2017-08-21 21:04:34, -749
2017-08-21 21:04:37, -677
2017-08-21 21:04:39, -1259
2017-08-21 21:04:40, -478
2017-08-21 21:04:42, -1270
2017-08-21 21:04:44, -730
2017-08-21 21:04:45, -786
2017-08-21 21:04:47, -1316
2017-08-21 21:04:49, -838
2017-08-21 21:04:50, -6
2017-08-21 21:04:52, -983
2017-08-21 21:04:54, -521
2017-08-21 21:04:55, -698
2017-08-21 21:04:57, -426
2017-08-21 21:04:58, -998
2017-08-21 21:05:01, -788
2017-08-21 21:05:03, -475
2017-08-21 21:05:05, -693
2017-08-21 21:05:06, -401
2017-08-21 21:05:11, -1051
2017-08-21 21:05:14, -509
2017-08-21 21:05:17, -831
2017-08-21 21:05:19, -727
2017-08-21 21:05:22, -418
2017-08-21 21:05:26, -614
2017-08-21 21:05:30, -253
2017-08-21 21:05:34, -631
2017-08-21 21:05:39, -575
2017-08-21 21:05:45, -1056
2017-08-21 21:05:46, -1004
2017-08-21 21:05:50, -1194
2017-08-21 21:05:51, -669
2017-08-21 21:05:55, -612
2017-08-21 21:05:56, -624
2017-08-21 21:06:00, -783
2017-08-21 21:06:01, -1032
2017-08-21 21:06:04, -1192
2017-08-21 21:06:08, -902
2017-08-21 21:06:11, -543
2017-08-21 21:06:14, -771
2017-08-21 21:06:18, -934
2017-08-21 21:06:21, -628
2017-08-21 21:06:24, -778
2017-08-21 21:06:28, -874
2017-08-21 21:06:31, -1570
2017-08-21 21:06:35, -438
2017-08-21 21:06:38, -276
2017-08-21 21:06:41, -1263
2017-08-21 21:06:45, -726
2017-08-21 21:06:49, -703
2017-08-21 21:06:53, -761
2017-08-21 21:06:55, -744
2017-08-21 21:06:58, -1065
2017-08-21 21:07:00, -706
2017-08-21 21:07:04, -677
2017-08-21 21:07:05, -1122
2017-08-21 21:07:09, -1118
2017-08-21 21:07:11, -826
2017-08-21 21:07:13, -587
2017-08-21 21:07:17, -979
2017-08-21 21:07:20, -826
2017-08-21 21:07:24, -618
2017-08-21 21:07:28, -627
2017-08-21 21:07:32, -798
2017-08-21 21:07:37, -673
2017-08-21 21:07:39, -1294
2017-08-21 21:07:43, -904
2017-08-21 21:07:45, -1520
2017-08-21 21:07:48, -639
2017-08-21 21:07:50, -301
2017-08-21 21:07:54, -494
2017-08-21 21:07:56, -865
2017-08-21 21:07:59, -396
2017-08-21 21:08:02, -483
